Unnamed: 0,source,author,title,description,urlToImage,publishedAt,content
11,"{'id': 'bbc-news', 'name': 'BBC News'}",,England 'shouldn't be scared' of pitch or India - Root,"Captain Joe Root says England should have ""no scars"" from two successive defeats when the final Test against India starts on Thursday.",https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/A5A7/production/_117370424_joe_root_bcci3.jpg,2021-03-03T15:05:44Z,"Joe Root has scored 333 runs in the three Tests against India - no other England player has more than 146
Captain Joe Root says England's batsmen ""shouldn't be scared"" of the pitch or India's bowler… [+2696 chars]"
12,"{'id': 'bbc-news', 'name': 'BBC News'}",,India v England: Hosts win fourth T20 by eight runs to set up series decider,India set up a series decider with an eight-run win over England in an absorbing fourth Twenty20 in Ahmedabad.,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/968E/production/_117624583_dawid_malan_bcci4.jpg,2021-03-18T18:01:43Z,"<table>
<tr><td>Fourth Twenty20, Ahmedabad</td></tr><tr><td>India 185-8: Suryakumar 57 (31), Iyer 37 (18); Archer 4-33</td></tr><tr><td>England 177-8: Stokes 46 (23), Roy 40 (27); Thakur 3-42, Pandy… [+1867 chars]"
13,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,U.S. defence chief Austin likely to visit India soon-India govt source - Reuters India,"U.S. Defense Secretary Lloyd Austin is likely to visit India next week, an Indian government source told Reuters on Sunday, as the two allies seek to deepen military ties to counter the growing power of China in the Asia-Pacific region.",https://static.reuters.com/resources/r/?m=02&d=20210307&t=2&i=1554016602&r=LYNXMPEH2602Z&w=800,2021-03-07T07:32:00Z,"By Reuters Staff
FILE PHOTO: U.S. Defense Secretary Lloyd Austin speaks to Defense Department personnel during a visit by U.S. President Joe Biden at the Pentagon in Arlington, Virginia, U.S., Febru… [+1822 chars]"
14,"{'id': 'bbc-news', 'name': 'BBC News'}",,Migrating flamingos turn Mumbai lakes into 'sea of pink',Thousands of flamingos migrate to western India every year in search for food and nesting grounds.,https://ichef.bbci.co.uk/images/ic/400xn/p098fv4h.jpg,2021-03-02T09:13:48Z,"Thousands of flamingo birds migrate to lakes and wetlands of western India to find food and better nesting grounds.
The annual spectacle in Navi Mumbai city has drawn people from nearby cities and t… [+242 chars]"
15,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Google backs one-year-old Indian startup DotPe in $27.5 million fundraise,"Google’s latest investment in India is a startup that is helping businesses come online. One-year-old DotPe, a Gurgaon-based startup, said on Friday it has raised $27.5 million in its Series A financing round. The round was led by PayU, with participation fro…",https://techcrunch.com/wp-content/uploads/2019/09/GettyImages-152382478.jpg?w=580,2021-03-26T10:49:23Z,"Googles latest investment in India is a startup that is helping businesses come online.
One-year-old DotPe, a Gurgaon-based startup, said on Friday it has raised $27.5 million in its Series A financ… [+2278 chars]"
16,"{'id': None, 'name': 'New York Times'}",The New York Times,Covid Updates: Spring Breakers Defy Curfew in Miami Beach,"New York finds its first case of a troubling variant first identified in Brazil. India battles a second wave centered around Mumbai, along with vaccine skepticism.",https://static01.nyt.com/images/2021/03/21/world/21virus-briefing-miami-beach1/21virus-briefing-miami-beach1-facebookJumbo.jpg,2021-03-21T14:57:26Z,"LiveUpdated March 21, 2021, 11:04 a.m. ET
March 21, 2021, 11:04 a.m. ET
New York finds its first case of a troubling variant first identified in Brazil. India battles a second wave centered around … [+15583 chars]"
17,"{'id': 'bbc-news', 'name': 'BBC News'}",,Archer out of England's ODI squad through injury,Fast bowler Jofra Archer will miss England's one-day international series against India next week because of an elbow injury.,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/13590/production/_97584297_breaking_news.png,2021-03-21T11:01:21Z,"Fast bowler Jofra Archer will miss England's one-day international series against India next week because of an elbow injury.
Archer will return home for further investigation of the issue, which wi… [+821 chars]"
18,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Roei ‘Jinji’ Sadan: Israeli round-the-world cyclist killed outside home,"Roei Sadan cycled across 42 countries and six continents, and survived falling down a mountain in India.",https://ichef.bbci.co.uk/news/1024/branded_news/12AEC/production/_117542567_17972085_1295949927191769_1414197060779547482_o.jpg,2021-03-12T19:33:02Z,"image captionRoei Sadan spent five years cycling across six continents
An adventure athlete who cycled the world and survived falling down a mountain in India has been killed by a bus near his home … [+1742 chars]"
19,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Tage Kene-Okafor,"How Pariti is connecting founders with capital, resources and talent in emerging markets","According to Startup Genome, Beijing, London, Silicon Valley, Stockholm, Tel Aviv are some of the world’s best startup ecosystems. The data and research organisation uses factors like performance, capital, market reach, connectedness, talent, and knowledge to…",https://techcrunch.com/wp-content/uploads/2021/03/Photo-24-04-2020-14-12-09.jpg?w=600,2021-03-05T09:22:51Z,"According to Startup Genome, Beijing, London, Silicon Valley, Stockholm, Tel Aviv are some of the world’s best startup ecosystems. The data and research organisation uses factors like performance, ca… [+8323 chars]"
20,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Indian fantasy sports app Dream11’s parent firm raises $400 million,"Dream Sports, the parent firm of fantasy sports app Dream11, has secured $400 million in a new financing round as the Mumbai-headquartered firm builds what it calls an “end-to-end sports tech company” in the cricket-loving nation, which is also the world’s se…",https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1148636368.jpg?w=563,2021-03-24T10:55:19Z,"Dream Sports, the parent firm of fantasy sports app Dream11, has secured $400 million in a new financing round as the Mumbai-headquartered firm builds what it calls an end-to-end sports tech company … [+3063 chars]"
21,"{'id': 'bbc-news', 'name': 'BBC News'}",,Pitch problems or pointless spin - what's all the fuss about?,"After England's two-day humbling by India in Ahmedabad, BBC Sport weighs up the arguments and considers what might happen next.",https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/10163/production/_117319856_joe_root_bcci5.jpg,2021-02-27T09:08:38Z,"Not since last week has a pitch caused so much debate.
If the tourists are saying little about the Ahmedabad pitch on which they were given a third-Test hiding, that has not stopped plenty of others… [+7255 chars]"
22,"{'id': 'bbc-news', 'name': 'BBC News'}",,India v England: Jonny Bairstow and Ben Stokes led chase of 338,Jonny Bairstow strikes a magnificent century and Ben Stokes a brutal 99 in an emphatic England chase of 337 to beat India in the second ODI in Pune.,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/C294/production/_117721894_jonnybairstow.jpg,2021-03-26T16:11:04Z,"Jonny Bairstow made his 11th one-day international century - only three England players have more
<table>
<tr><td>Second one-day international, Pune</td></tr><tr><td>India 336-6 (50 overs): Rahul 1… [+4986 chars]"
23,"{'id': 'bbc-news', 'name': 'BBC News'}",,'Any side in the world would miss Root' - Bairstow,"Jonny Bairstow says ""any side in the world would miss Joe Root,"" after England's 66-run loss to India in the first one-day-international in Pune.",https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/80A1/production/_117692923_gettyimages-1155587741.jpg,2021-03-24T15:38:47Z,"Yorkshire team-mates Root (left) and Bairstow were both part of England 2019 World Cup winning team
Jonny Bairstow says ""any side in the world would miss Joe Root"" after England's 66-run defeat by I… [+2176 chars]"
24,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Pakistan bans TikTok again over ‘immoral and objectionable’ videos,Pakistan has banned TikTok again in the country after reviewing a complaint that said the popular video app hosted immoral and objectionable content. A high court in the city of Peshawar on Thursday ordered the nation’s telecom authority — Pakistan Telecom Au…,https://techcrunch.com/wp-content/uploads/2020/11/GettyImages-1002955800.jpg?w=600,2021-03-11T18:34:02Z,"Pakistan has banned TikTok again in the country after reviewing a complaint that said the popular video app hosted immoral and objectionable content.
A high court in the city of Peshawar on Thursday… [+2200 chars]"
25,"{'id': 'reuters', 'name': 'Reuters'}",Supantha Mukherjee,Sweden's Scania admits 'misconduct' in India after contract-for-bribes report - Reuters India,"An internal investigation at Scania into its Indian operations found evidence of misconduct by employees including senior management, the Swedish bus and truck maker said on Wednesday, adding the individuals involved had all left the company.",https://static.reuters.com/resources/r/?m=02&d=20210310&t=2&i=1554415682&r=LYNXMPEH2918E&w=800,2021-03-10T16:05:00Z,"STOCKHOLM (Reuters) - An internal investigation at Scania into its Indian operations found evidence of misconduct by employees including senior management, the Swedish bus and truck maker said on Wed… [+2169 chars]"
26,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,India detects novel coronavirus variant - Reuters,India's health ministry said on Wednesday that a novel variant of the coronavirus had been detected in the country in addition to many other variants of concern (VOCs) also found abroad.,https://static.reuters.com/resources/r/?m=02&d=20210324&t=2&i=1555997629&r=LYNXMPEH2N0J7&w=800,2021-03-24T07:35:00Z,"By Reuters Staff
FILE PHOTO: A man wearing a protective mask walks past a graffiti amidst the spread of the coronavirus disease (COVID-19) on a street in Navi Mumbai, India, March 8, 2021. REUTERS/F… [+497 chars]"
27,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,India to propose cryptocurrency ban -source - Reuters,"India will propose a law banning cryptocurrencies, fining anyone trading in the country or even holding such digital assets, a senior government official told Reuters in a potential blow to millions of investors piling into the red-hot asset class.",https://ajo.prod.reuters.tv/api/v2/img/604edcdfe4b085d3b6c30c2d-1615781103986?location=LANDSCAPE,2021-03-15T06:36:33Z,"Posted 
India will propose a law banning cryptocurrencies, fining anyone trading in the country or even holding such digital assets, a senior government official told Reuters in a potential blow to … [+57 chars]"
28,"{'id': 'reuters', 'name': 'Reuters'}",Dave Lucas,Ukrainian couple handcuff themselves together - Reuters India,"Alexandr Kudlay, 33, and Viktoria Pustovitova, 28, have breakfast in their apartment in Kharkiv, Ukraine March 5, 2021. Tired of occasional break-ups, this Ukrainian couple found an unusual solution t",https://s2.reutersmedia.net/resources/r/?m=02&d=20210312&t=2&i=1554719577&w=&fh=545&fw=810&ll=&pl=&sq=&r=2021-03-12T193915Z_39120_MRPRC2Z8M90NK1X_RTRMADP_0_UKRAINE-ODDLY-CHAINED-COUPLE,2021-03-12T19:39:00Z,"Alexandr Kudlay, 33, and Viktoria Pustovitova, 28, have breakfast in their apartment in Kharkiv, Ukraine March 5, 2021. Tired of occasional break-ups, this Ukrainian couple found an unusual solution … [+449 chars]"
29,"{'id': None, 'name': 'Gizmodo.com'}",Shoshana Wodinsky,YouTube's TikTok Clone Has Arrived,"After a slew of TikTok competitors cropped up across the U.S. this past summer, it looks like we’re getting yet another name added to that list. Enter YouTube Shorts, which the company rolled out in beta on Thursday for its American audience after testing the…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ares8ilm1okpbsktl3uq.jpg",2021-03-18T18:00:00Z,"After a slew of TikTok competitors cropped up across the U.S. this past summer, it looks like were getting yet another name added to that list. Enter YouTube Shorts, which the company rolled out in b… [+2744 chars]"
30,"{'id': None, 'name': 'Bt.com'}",,England suffer defeat in T20 series decider against India - BT Sport,"<ol><li>England suffer defeat in T20 series decider against India  BT Sport
</li><li>Highlights, India vs England 5th T20I: Virat, Rohit star as India beat England by 36 runs, clinch series 3-2  Times of India
</li><li>India beat England by 36 runs to win t…","https://image.assets.pressassociation.io/v2/image/production/dd50a08b508bc0f0927b693b033a78d4Y29udGVudHNlYXJjaCwxNjE2MzQ4Mzg4/2.58709008.jpg?rect=0,388,4867,2738&ext=.jpg",2021-03-20T17:51:11Z,"England suffered a rare setback in Twenty20 cricket as they failed to match Indias hitting power in an entertaining series decider in Ahmedabad.
Eoin Morgans men had lost just one of their previous … [+4372 chars]"
31,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,GAIL India issues tender to buy and sell LNG for April-May - Reuters,"GAIL (India) has issued a tender seeking to buy two liquefied natural gas (LNG) cargoes for delivery into India and offering two cargoes for loading from the United States, two industry sources said.",https://static.reuters.com/resources/r/?m=02&d=20210302&t=2&i=1553403126&r=LYNXNPEH21046&w=800,2021-03-02T03:00:00Z,"By Reuters Staff
The logo of India's state-owned natural gas utility GAIL (India) Ltd is pictured on its corporate office building in New Delhi, India, April 26, 2018. REUTERS/Adnan Abidi
SINGAPORE… [+704 chars]"
32,"{'id': 'bbc-news', 'name': 'BBC News'}",,England fast bowler Archer to have hand surgery,England fast bowler Jofra Archer will have surgery on his right hand after cutting himself while cleaning at his home in January.,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/116E0/production/_117729317_jof_getty.jpg,2021-03-27T12:23:20Z,"Jofra Archer played in two Tests and five Twenty20s against India in February and March
England fast bowler Jofra Archer will have surgery on his right hand after cutting himself while cleaning at h… [+1104 chars]"
33,"{'id': 'reuters', 'name': 'Reuters'}",Krishna N. Das,"Exclusive: India delays big exports of AstraZeneca shot as infections surge, sources say - Reuters","India has put a temporary hold on all major exports of the AstraZeneca coronavirus shot made by the Serum Institute of India (SII), the world's biggest vaccine-maker, to meet domestic demand as infections rise, two sources told Reuters.",https://static.reuters.com/resources/r/?m=02&d=20210324&t=2&i=1556047194&r=LYNXMPEH2N1D9&w=800,2021-03-24T14:42:00Z,"NEW DELHI (Reuters) - India has put a temporary hold on all major exports of the AstraZeneca coronavirus shot made by the Serum Institute of India (SII), the worlds biggest vaccine-maker, to meet dom… [+3127 chars]"
34,"{'id': 'reuters', 'name': 'Reuters'}",Krishna N. Das,"Exclusive: India delays big exports of AstraZeneca shot as infections surge, sources say - Reuters","India has put a temporary hold on all major exports of the AstraZeneca coronavirus shot made by the Serum Institute of India (SII), the world's biggest vaccine-maker, to meet domestic demand as infections rise, two sources told Reuters.",https://static.reuters.com/resources/r/?m=02&d=20210324&t=2&i=1556050580&r=LYNXMPEH2N1F5&w=800,2021-03-24T14:42:00Z,"NEW DELHI (Reuters) - India has put a temporary hold on all major exports of the AstraZeneca coronavirus shot made by the Serum Institute of India (SII), the worlds biggest vaccine-maker, to meet dom… [+3102 chars]"
35,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Serum Institute delays expected launch of Novavax vaccine in India - Reuters,"The launch in India of a new COVID-19 vaccine developed jointly by the Serum Institute of India and U.S.-based biotech firm Novavax is likely to be delayed to September, the Indian company's boss said on Saturday.",https://static.reuters.com/resources/r/?m=02&d=20210327&t=2&i=1556429976&r=LYNXMPEH2Q066&w=800,2021-03-27T11:14:00Z,"By Reuters Staff
NEW DELHI (Reuters) - The launch in India of a new COVID-19 vaccine developed jointly by the Serum Institute of India and U.S.-based biotech firm Novavax is likely to be delayed to … [+1630 chars]"
36,"{'id': 'bbc-news', 'name': 'BBC News'}",,Victory in final India Test would cap 'unbelievable' winter for England - Crawley,"Opener Zak Crawley says there is ""definitely a way back"" for England as they chase victory in the final Test and a series draw.",https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/E1F9/production/_116794875_crawley.jpg,2021-03-02T15:57:04Z,"Crawley averages 37.16 from 11 Tests
Victory over India in the final Test would cap an ""unbelievable"" winter for England, says opener Zak Crawley.
England trail 2-1 heading into the fourth Test in … [+1696 chars]"
37,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Myanmar coup: India asked to return police officers who crossed border,Several officers reportedly crossed the border after refusing to carry out the military junta's orders.,https://ichef.bbci.co.uk/news/1024/branded_news/16C0D/production/_117479139_066071725.jpg,2021-03-06T20:25:36Z,"image captionFresh clashes broke out between police and protesters in Yangon on Saturday
Myanmar has asked neighbouring India to return several police officers who crossed the border seeking refuge … [+3196 chars]"
38,"{'id': 'reuters', 'name': 'Reuters'}",,India-Pakistan detente continues with water-sharing talks - Reuters,India-Pakistan detente continues with water-sharing talks  Reuters,,2021-03-22T12:13:31Z,"Emerging Markets
Sanjeev Miglani
Neha Arora
NEW DELHI (Reuters) - India and Pakistan are to hold the first meeting in three years on Tuesday of a commission on water rights from the Indus River in… [+2464 chars]"
39,"{'id': 'reuters', 'name': 'Reuters'}",,"To go electric, America needs more mines. Can it build them? - Reuters India","To go electric, America needs more mines. Can it build them?  Reuters India",,2021-03-01T17:49:36Z,"Technology News
Ernest Scheyder
(Reuters) - Last September, in the arid hills of northern Nevada, a cluster of flowers found nowhere else on earth died mysteriously overnight.
FILE PHOTO: General … [+8290 chars]"
40,"{'id': 'reuters', 'name': 'Reuters'}",John Kemp,RPT-COLUMN-India and Saudi Arabia spar over oil prices: John Kemp - Reuters,RPT-COLUMN-India and Saudi Arabia spar over oil prices: John Kemp  Reuters,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-26T01:28:17Z,"(Repeats story filed on March 25 with no changes. John Kemp is a Reuters market analyst. The views expressed are his own)
* India and Saudi Arabia goods trade: tmsnrt.rs/31jvIOM
LONDON, March 25 (R… [+4753 chars]"
41,"{'id': 'reuters', 'name': 'Reuters'}",,Renault to supply Mitsubishi with two European car models - Reuters India,Renault to supply Mitsubishi with two European car models  Reuters India,,2021-03-10T11:44:20Z,"FILE PHOTO: Mitsubishi Mi-Tech concept car is seen in Tokyo Motor Show in Tokyo, Japan October 24, 2019. REUTERS/Soe Zeya Tun
Business News
Reuters Staff
PARIS (Reuters) - Frances Renault will sup… [+1761 chars]"
42,"{'id': 'reuters', 'name': 'Reuters'}",Devjyot Ghoshal,Myanmar asks India to return eight police who fled across border - Reuters,"Authorities in Myanmar have asked India to return several police officers who have sought refuge to avoid taking orders from a military junta that seized power in the Southeast Asian country last month, an official in northeast India said on Saturday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-06T07:26:00Z,NEW DELHI (Reuters) - Authorities in Myanmar have asked India to return several police officers who have sought refuge to avoid taking orders from a military junta that seized power in the Southeast … [+1484 chars]
43,"{'id': None, 'name': 'Monterey County Weekly'}",Tajha Chappellet-Lanier,Elon Musk’s Starlink internet service promises high speeds in rural areas like Big Sur. - Monterey County Weekly,"<ol><li>Elon Musk’s Starlink internet service promises high speeds in rural areas like Big Sur.  Monterey County Weekly
</li><li>SpaceX Starlink broadband India pre-registration: where to register, what is it, price in india, internet spe  BGR India
</li><l…",https://bloximages.newyork1.vip.townnews.com/montereycountyweekly.com/content/tncms/assets/v3/editorial/c/cd/ccd11a70-7c77-11eb-a464-87a7343b582e/60401b1ce8b51.image.jpg?crop=1000%2C563%2C0%2C93&resize=1000%2C563&order=crop%2Cresize,2021-03-05T17:30:00Z,"The hills of Big Sur are abuzz with the promise of high-speed internet. Starlink, a division of billionaire Elon Musks SpaceX rocket company, is promising coverage in mid to late 2021 and people are … [+2260 chars]"
44,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,India to expand COVID-19 vaccination from April 1 - Reuters,"India said on Tuesday everybody above 45 will be eligible for coronavirus vaccination from April 1, in an expansion of its programme.",https://static.reuters.com/resources/r/?m=02&d=20210323&t=2&i=1555868717&r=LYNXMPEH2M0LK&w=800,2021-03-23T09:54:00Z,"By Reuters Staff
FILE PHOTO: A woman watches as a healthcare worker fills a syringe with a dose of COVISHIELD, the coronavirus disease (COVID-19) vaccine manufactured by Serum Institute of India, at… [+348 chars]"
45,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Turkey's Erdogan says Biden comments on Putin 'unacceptable' - Reuters India,"Turkish President Tayyip Erdogan said on Friday that U.S. President Joe Biden's comments about Russia's Vladimir Putin, in which he called him a killer, were ""unacceptable"" and ""not fitting of a president"".",https://static.reuters.com/resources/r/?m=02&d=20210319&t=2&i=1555474858&r=LYNXMPEH2I0N9&w=800,2021-03-19T11:33:00Z,"By Reuters Staff
FILE PHOTO: Turkish President Tayyip Erdogan attends a joint news conference following talks with Russian President Vladimir Putin in Moscow, Russia March 5, 2020. Pavel Golovkin/Po… [+553 chars]"
46,"{'id': 'reuters', 'name': 'Reuters'}",Dave Lucas,Spring in blossom around the world | Pictures - Reuters India,"A man wearing a protective face mask takes a photo of blooming cherry blossoms in Tokyo, Japan, March 23, 2021.  REUTERS/Issei Kato",https://s3.reutersmedia.net/resources/r/?m=02&d=20210323&t=2&i=1555923627&w=&fh=545&fw=810&ll=&pl=&sq=&r=2021-03-23T172512Z_39295_MRPRC2VGM9HB8CS_RTRMADP_0_SPRING-CHERRYBLOSSOMS-JAPAN,2021-03-23T17:25:00Z,"Reuters, the news and media division of Thomson Reuters, is the worlds largest international multimedia news provider reaching more than one billion people every day. Reuters provides trusted busines… [+229 chars]"
47,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,China asks Alibaba to curtail media assets: WSJ - Reuters India,"China's government has asked Alibaba Group Holding Ltd to dispose of its media assets, the Wall Street Journal reported on Monday, citing people familiar with the matter.",https://static.reuters.com/resources/r/?m=02&d=20210315&t=2&i=1554936661&r=LYNXMPEH2E0YD&w=800,2021-03-15T12:49:00Z,"By Reuters Staff
FILE PHOTO: The logo of Alibaba Group is seen at its office in Beijing, China January 5, 2021. REUTERS/Thomas Peter
(Reuters) - Chinas government has asked Alibaba Group Holding Lt… [+697 chars]"
48,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,India to set up development finance body for infrastructure - Reuters,"India's cabinet approved on Tuesday the establishment of a development financial institution (DFI) to boost investment in infrastructure projects, the finance minister said, as it moves to increase spending on roads, ports and energy.",https://static.reuters.com/resources/r/?m=02&d=20210316&t=2&i=1555062561&r=LYNXMPEH2F0TU&w=800,2021-03-16T11:24:00Z,"By Reuters Staff
FILE PHOTO: India's Finance Minister Nirmala Sitharaman attends a joint news conference with U.S. Treasury Secretary Steven Mnuchin in New Delhi, India, November 1, 2019. REUTERS/Ad… [+1372 chars]"
