,source,author,title,description,urlToImage,publishedAt,content
23,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Germany can now look to cautious reopening, Merkel says - Reuters","Germany is entering a new phase of the coronavirus pandemic in which a staged reopening of society is possible, Chancellor Angela Merkel said, but added that an ""emergency brake"" will let authorities reimpose curbs if case numbers get out of control.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-03T23:18:00Z,"By Reuters Staff
BERLIN, March 3 (Reuters) - Germany is entering a new phase of the coronavirus pandemic in which a staged reopening of society is possible, Chancellor Angela Merkel said, but added … [+644 chars]"
24,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany charges ex-Steinhoff managers with balance sheet fraud - Reuters,"German prosecutors have filed charges against three former managers at South African retailer Steinhoff for balance sheet fraud, three years after the company first revealed holes in its accounts.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-04T14:58:00Z,"By Reuters Staff
BERLIN (Reuters) - German prosecutors have filed charges against three former managers at South African retailer Steinhoff for balance sheet fraud, three years after the company fir… [+1865 chars]"
25,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,France and Germany to require COVID-19 test for some border crossings - Reuters,"France and Germany have agreed that people crossing the border between the French region of Moselle and Germany will have to have proof of a negative COVID-19 antigen test in the previous 48 hours, French Europe Minister Clement Beaune said on Sunday.",https://static.reuters.com/resources/r/?m=02&d=20210228&t=2&i=1553242279&r=LYNXNPEH1R0EN&w=800,2021-02-28T21:10:00Z,"By Reuters Staff
FILE PHOTO: A banner with a German flag and a flag of the European Union are pictured during police controls at the border with France, due to the spreading of the coronavirus disea… [+2059 chars]"
26,"{'id': None, 'name': 'Evening Standard'}",Michael Howie,Angela Merkel: ’We have new pandemic’ as Germany calls Easter lockdown - Evening Standard,"<ol><li>Angela Merkel: ’We have new pandemic’ as Germany calls Easter lockdown  Evening Standard
</li><li>Coronavirus: Germany imposes Easter lockdown to curb new surge  BBC News
</li><li>Europe Covid: New lockdown in Germany as French cases double in a wee…",https://static.standard.co.uk/2021/03/23/06/2021-03-23T055644Z_516372644_RC2TGM96U4BL_RTRMADP_3_HEALTH-CORONAVIRUS-SNAPSHOT.JPG?width=1200&width=1200&auto=webp&quality=75,2021-03-23T08:22:00Z,"Mrs Merkel sounded the alarm on Tuesday after announcing tough new restrictions including a lockdown over the Easter holiday. 
The strict curbs are intended to drive down the rate of infections in G… [+2202 chars]"
27,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany continues to use AstraZeneca COVID-19 vaccine - Reuters,"Germany continues to use AstraZeneca's COVID-19 vaccine according to the European Medicines Agency's guidelines despite reports about serious side-effects and a suspension of the vaccine in some countries, the health ministry said.",https://static.reuters.com/resources/r/?m=02&d=20210315&t=2&i=1554914792&r=LYNXMPEH2E0LQ&w=800,2021-03-15T09:01:00Z,"By Reuters Staff
FILE PHOTO: Vials labelled ""Astra Zeneca COVID-19 Coronavirus Vaccine"" and a syringe are seen in front of a displayed Germany flag in this illustration photo taken March 14, 2021. R… [+518 chars]"
28,"{'id': 'reuters', 'name': 'Reuters'}","John O’Donnell, Tom Sims",How Germany considered rescuing Wirecard days before its doom - Reuters,"The German government examined the possibility of bailing out Wirecard just three days before it collapsed, according to documents seen by Reuters showing that officials were blindsided by the country's biggest post-war fraud scandal.",https://static.reuters.com/resources/r/?m=02&d=20210316&t=2&i=1555048739&r=LYNXMPEH2F0JC&w=800,2021-03-16T09:13:00Z,"FRANKFURT (Reuters) - The German government examined the possibility of bailing out Wirecard just three days before it collapsed, according to documents seen by Reuters showing that officials were bl… [+7630 chars]"
29,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany sticks to coronavirus vaccine goal despite AstraZeneca pause - Reuters,"Germany is sticking to its goal of offering a coronavirus vaccination to everyone by the end of the summer, a government spokeswoman said on Wednesday despite its decision this week to suspend use of AstraZeneca doses due to safety worries.",https://static.reuters.com/resources/r/?m=02&d=20210317&t=2&i=1555225971&r=LYNXMPEH2G1CE&w=800,2021-03-17T15:59:00Z,"By Reuters Staff
FILE PHOTO: A patient receives a coronavirus disease (COVID-19) vaccine at dr. Andreas Carganico office in Berlin, where the first COVID-19 vaccinations are given in doctors' surger… [+1632 chars]"
30,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany plays down scale of vaccine boost in April - Reuters,"Far more people in Germany will get a coronavirus vaccination from April when family doctors start giving them but the idea that 25% of the population can get a shot in just a month is unrealistic, Health Minister Jens Spahn warned on Wednesday.",https://static.reuters.com/resources/r/?m=02&d=20210310&t=2&i=1554367367&r=LYNXMPEH290ID&w=800,2021-03-10T09:15:00Z,"By Reuters Staff
FILE PHOTO: A health worker checks the temperature of the nurse before vaccination, in the state of Brandenburg where the first coronavirus vaccinations are given in doctors' surger… [+1423 chars]"
31,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany boosts incentives for companies offering vocational training - Reuters,"Germany will increase incentives for firms offering vocational training by 700 million euros ($830 million) as the COVID-19 pandemic undermines efforts to reduce shortages of skilled labour in Europe's largest economy, officials said on Wednesday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-17T08:09:00Z,"By Reuters Staff
BERLIN, March 17 (Reuters) - Germany will increase incentives for firms offering vocational training by 700 million euros ($830 million) as the COVID-19 pandemic undermines efforts … [+2121 chars]"
32,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany sticks to summer vaccination target: document - Reuters India,"Vaccines will remain scarce in Germany in April, the government said, but Berlin still aims to be able to offer every citizen a COVID-19 shot in the summer, according to a government document.",https://static.reuters.com/resources/r/?m=02&d=20210319&t=2&i=1555477242&r=LYNXMPEH2I0OL&w=800,2021-03-19T11:59:00Z,"By Reuters Staff
FILE PHOTO: Empty chairs are seen at a waiting area for people who receive AstraZeneca's vaccine at vaccination centre, temporarily set up in a hall of the fair, amid the coronaviru… [+941 chars]"
33,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"At NATO, Blinken warns Germany over Nord Stream 2 - Reuters","U.S. Secretary of State Antony Blinken said on Tuesday the Nord Stream 2 pipeline, under construction from Russia to Germany, ran counter to the European Union's own interests and undermined Ukraine.",https://static.reuters.com/resources/r/?m=02&d=20210323&t=2&i=1555858411&r=LYNXMPEH2M0G0&w=800,2021-03-23T08:17:00Z,"By Reuters Staff
BRUSSELS (Reuters) - U.S. Secretary of State Antony Blinken said on Tuesday the Nord Stream 2 pipeline, under construction from Russia to Germany, ran counter to the European Unions… [+152 chars]"
34,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Germany extends border control with Czech Republic, Tyrol - Reuters","Germany has extended border control with the Czech Republic and Austria's Tyrol region, Interior Minster Horst Seehofer said on Wednesday, citing the current number of new coronavirus infections and more virus variant cases.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-17T11:45:00Z,"By Reuters Staff
March 17 (Reuters) - Germany has extended border control with the Czech Republic and Austrias Tyrol region, Interior Minster Horst Seehofer said on Wednesday, citing the current num… [+382 chars]"
35,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany creates bridge between blockchain and euro - Reuters,"German authorities have developed technology allowing investors to buy and sell securities on the blockchain in return for central bank money, bridging a gap between two worlds that once seemed irreconcilable.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-24T11:43:00Z,"By Reuters Staff
FRANKFURT, March 24 (Reuters) - German authorities have developed technology allowing investors to buy and sell securities on the blockchain in return for central bank money, bridgi… [+1882 chars]"
36,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Moderna plans factory in eastern Germany, FAZ reports - Reuters","The U.S. coronavirus vaccine producer Moderna is planning to construct a vaccine manufacturing facility in eastern Germany, a German newspaper reported on Thursday.",https://static.reuters.com/resources/r/?m=02&d=20210325&t=2&i=1556220321&r=LYNXMPEH2O1M2&w=800,2021-03-25T17:53:00Z,"By Reuters Staff
FILE PHOTO: Vial labelled ""Moderna coronavirus disease (COVID-19) vaccine"" placed on displayed Moderna logo is seen in this illustration picture taken March 24, 2021. REUTERS/Dado R… [+917 chars]"
37,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Germany to resume vaccination with AstraZeneca on Friday: health minister - Reuters,"Germany will resume the use of AstraZeneca's coronavirus vaccine as of Friday, Health Minister Jens Spahn said on Thursday.",https://static.reuters.com/resources/r/?m=02&d=20210318&t=2&i=1555390670&r=LYNXMPEH2H1GU&w=800,2021-03-18T19:25:00Z,"By Reuters Staff
Empty chairs are seen at a waiting area for people who receive AstraZeneca's vaccine at vaccination centre, temporarily set up in a hall of the fair, amid the coronavirus disease (C… [+378 chars]"
38,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,German coronavirus cases rising exponentially: RKI - Reuters,"The number of coronavirus infections in Germany is rising exponentially, a public health official said on Friday.",https://static.reuters.com/resources/r/?m=02&d=20210319&t=2&i=1555461715&r=LYNXMPEH2I0GH&w=800,2021-03-19T09:31:00Z,"By Reuters Staff
FILE PHOTO: A man walks along a closed shop at the main shopping street Hohe Strasse amid the coronavirus disease (COVID-19) pandemic in Cologne, Germany, March 18, 2021. REUTERS/Th… [+429 chars]"
39,"{'id': None, 'name': 'Businessinsider.de'}",insider@insider.com (Cornelia Meyer),Luxury made in Germany: Millionaires travel in these motorhomes,Volkner Mobil specializes in luxury class motorhomes. The vehicles cost more than most single-family homes.,https://www.businessinsider.com/public/assets/BI/US/og-image-logo-social.png,2021-03-19T16:40:06Z,This is an automated machine translation of an article published by Business Insider in a different language. Machine translations can generate errors or inaccuracies; we will continue the work to im… [+5556 chars]
40,"{'id': 'reuters', 'name': 'Reuters'}",Jack Graham,Wary US farmers weigh up joining Biden's climate fight - Reuters,Garrett Riekhof's family has farmed crops like corn and soybeans near the Missouri town of Higginsville since his ancestors arrived there from Germany over a century ago.,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-15T11:19:00Z,(Thomson Reuters Foundation) - Garrett Riekhofs family has farmed crops like corn and soybeans near the Missouri town of Higginsville since his ancestors arrived there from Germany over a century ago… [+6800 chars]
41,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Germany issues COVID travel warning for France, Austria, Czech Republic, Denmark - Reuters UK","Germany warned its citizens on Friday not to make unnecessary trips to neighbouring France, Austria, Denmark and the Czech Republic because of rising COVID-19 infection rates.",https://static.reuters.com/resources/r/?m=02&d=20210326&t=2&i=1556374588&r=LYNXMPEH2P1NU&w=800,2021-03-26T18:44:04Z,"By Reuters Staff
FILE PHOTO: People queue at a COVID-19 testing centre, after controls were tightened due to the coronavirus disease (COVID-19) outbreak, at the Czech-German border in Folmava, Czech… [+1059 chars]"
42,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Merkel says British coronavirus variant more dangerous to children - Reuters,"A variant of the coronavirus first detected in Britain, and now spreading in Germany, is more dangerous to young people, Chancellor Angela Merkel said on Wednesday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-24T13:38:00Z,"By Reuters Staff
BERLIN, March 24 (Reuters) - A variant of the coronavirus first detected in Britain, and now spreading in Germany, is more dangerous to young people, Chancellor Angela Merkel said o… [+327 chars]"
43,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,German steelworkers reach pay deal with union - Reuters,"Germany's largest trade union, IG Metall, agreed a wage deal on Saturday for the roughly 70,000 workers in the iron and steel industry in north-west Germany.",https://static.reuters.com/resources/r/?m=02&d=20210327&t=2&i=1556420937&r=LYNXMPEH2Q047&w=800,2021-03-27T08:10:00Z,"By Reuters Staff
BERLIN (Reuters) - Germanys largest trade union, IG Metall, agreed a wage deal on Saturday for the roughly 70,000 workers in the iron and steel industry in north-west Germany.
Unde… [+948 chars]"
44,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,German steelworkers reach pay deal with union - Reuters,"Germany's largest trade union, IG Metall, agreed a wage deal on Saturday for the roughly 70,000 workers in the iron and steel industry in north-west Germany.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-27T07:36:00Z,"By Reuters Staff
BERLIN, March 27 (Reuters) - Germanys largest trade union, IG Metall, agreed a wage deal on Saturday for the roughly 70,000 workers in the iron and steel industry in north-west Germ… [+937 chars]"
45,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,"Germany's confirmed coronavirus cases rise by 16,033 - RKI - Reuters","The number of confirmed coronavirus cases in Germany increased by 16,033 to 2,645,783, data from the Robert Koch Institute (RKI) for infectious diseases showed on Saturday.",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-03-20T04:42:00Z,"By Reuters Staff
BERLIN, March 20(Reuters) - The number of confirmed coronavirus cases in Germany increased by 16,033 to 2,645,783, data from the Robert Koch Institute (RKI) for infectious diseases … [+121 chars]"
46,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Darrell Etherington,SpaceX launches 60 new Starlink satellites just one week after the last batch,"SpaceX now has 60 more Starlink satellites in orbit – it launched its latest full complement of the internet broadband spacecraft early this morning from Cape Canaveral in Florida. Just last Thursday, SpaceX launched its last batch of 60, and this past week i…",https://techcrunch.com/wp-content/uploads/2021/03/Star20_Streak.jpg?w=764,2021-03-11T12:11:15Z,"SpaceX now has 60 more Starlink satellites in orbit it launched its latest full complement of the internet broadband spacecraft early this morning from Cape Canaveral in Florida. Just last Thursday, … [+1989 chars]"
47,"{'id': None, 'name': 'NPR'}",Julie McCarthy,Protesters Across Europe Clash With Police Over COVID-19 Lockdowns,Anger at restrictions imposed to contain the coronavirus pandemic spilled into the streets of Germany and the U.K. on Saturday.,https://media.npr.org/assets/img/2021/03/21/ap21079588395455_wide-d075939ed7312bddcca5a0c50c0079c8c6a48d0f.jpg?s=1400,2021-03-21T04:28:24Z,"People without face masks attend a protest against government restrictions to curb the spread of the coronavirus in London on Saturday.
Alberto Pezzali/AP
Anger at restrictions imposed to contain t… [+3317 chars]"
48,"{'id': None, 'name': 'Ctvnews.ca'}",Geir Moulson,"Coronavirus: Germany drops Easter shutdown plan, Merkel apologizes - CTV News","<ol><li>Coronavirus: Germany drops Easter shutdown plan, Merkel apologizes  CTV News
</li><li>After backlash, Germany's Merkel ditches stricter Easter lockdown  Toronto Sun
</li><li>Coronavirus: Germany's Merkel reverses plans for Easter lockdown  BBC News…",https://www.ctvnews.ca/polopoly_fs/1.5359887.1616584770!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2021-03-24T11:23:00Z,"BERLIN -- 
Chancellor Angela Merkel on Wednesday dropped plans for a five-day shutdown in Germany over Easter, which had prompted confusion and criticism. She called the idea a mistake and apologize… [+2152 chars]"
